x,y,label
-1.662614,0.286035,0
-1.480243,0.270019,1
-1.234043,0.284433,1
-0.919453,0.289238,1
-0.399696,0.289238,0
-1.024316,0.273222,0
-0.810030,0.270019,0
-0.591185,0.270019,1
1.674772,0.266816,6
2.194529,0.266816,6
1.761398,0.250801,6
2.007599,0.250801,6
-1.220365,0.215567,1
1.845419,0.194518,6
-0.969605,0.196348,0
-0.823708,0.183536,1
-0.696049,0.189942,0
1.738602,0.196348,6
2.075988,0.193145,6
2.185410,0.183536,6
-1.309271,0.164318,1
-1.090426,0.164318,1
1.966565,0.149904,6
-0.563830,0.154709,1
-0.349544,0.157912,0
2.112462,0.138693,6
-1.056231,0.116272,1
-0.591185,0.097053,0
-0.810030,0.077835,1
1.957447,0.055413,6
2.007599,0.000961,6
2.048632,-0.095131,6
2.034954,-0.152787,2
-1.398176,-0.210442,3
2.039514,-0.207239,2
-1.554494,-0.247506,3
-1.416413,-0.252082,3
-1.252280,-0.245676,3
2.013816,-0.279454,2
-1.374240,-0.320948,3
-0.150760,-0.293081,2
1.870821,-0.287316,2
2.150239,-0.313398,2
-1.726444,-0.306534,3
2.281155,-0.306534,2
-1.610182,-0.335362,3
-1.243161,-0.322550,3
-0.317629,-0.325753,2
1.784195,-0.322550,2
-1.495441,-0.373799,3
-0.509119,-0.344971,2
-0.016717,-0.344971,2
-1.685410,-0.364190,3
-0.194529,-0.373799,2
0.156535,-0.370596,2
1.906383,-0.366111,5
-1.302432,-0.383408,3
-1.138298,-0.383408,3
1.656535,-0.386611,2
2.034954,-0.383408,2
-1.762918,-0.405830,3
-1.391337,-0.412236,3
-0.317629,-0.402627,2
0.004776,-0.401254,2
1.765957,-0.399423,2
-1.630699,-0.421845,3
-0.707447,-0.431454,2
-0.509119,-0.421845,2
-0.221884,-0.439996,2
0.117325,-0.435298,2
0.427812,-0.431454,2
1.975684,-0.425048,2
2.212766,-0.421845,2
2.308511,-0.421845,2
0.256839,-0.441063,2
1.720365,-0.450673,2
2.390578,-0.441063,2
-1.762918,-0.463485,3
-1.521277,-0.450673,3
-1.275076,-0.460282,3
-0.449848,-0.463485,2
1.857143,-0.479500,2
-1.662614,-0.482703,3
-1.389058,-0.489110,3
-0.050912,-0.511931,2
-1.083587,-0.498719,2
-0.618541,-0.498719,5
-0.344985,-0.498719,2
0.174772,-0.498719,2
0.359878,-0.553171,2
0.501086,-0.519310,2
1.665653,-0.498719,5
2.012158,-0.495516,2
2.231003,-0.501922,2
-1.521277,-0.517937,3
-1.247720,-0.517937,3
-0.864742,-0.517937,2
-0.235562,-0.517937,2
0.667173,-0.517937,5
2.144377,-0.517937,2
-1.580547,-0.540359,3
-0.721125,-0.546765,2
-0.509119,-0.537156,2
2.363222,-0.537156,2
-1.462006,-0.559577,3
-1.329787,-0.556374,3
-1.193009,-0.556374,3
-1.056231,-0.556374,2
-0.382110,-0.603047,2
0.065350,-0.556374,2
0.174772,-0.556374,2
1.693009,-0.556374,5
1.820669,-0.559577,2
-1.658055,-0.575593,3
-0.591185,-0.575593,2
-0.153495,-0.575593,5
2.057751,-0.578796,2
-1.580547,-0.591608,3
-0.875380,-0.619368,2
-0.262918,-0.594811,2
0.256839,-0.614029,2
1.925532,-0.594811,2
-1.493921,-0.614029,3
-0.974164,-0.614029,2
-0.686930,-0.666598,2
-0.536474,-0.614029,2
0.065350,-0.614029,2
0.475684,-0.614029,5
0.585106,-0.614029,2
2.258359,-0.610826,2
2.472644,-0.614029,2
-0.249240,-0.651399,2
-0.095365,-0.647662,2
0.694529,-0.633248,5
0.779331,-0.639013,2
1.569909,-0.633248,2
1.708641,-0.631875,2
2.121581,-0.636451,2
2.363222,-0.633248,2
0.174772,-0.652466,2
0.366261,-0.652466,2
1.952888,-0.652466,2
-0.420213,-0.678892,2
0.089970,-0.696669,2
0.475684,-0.671685,2
1.848024,-0.674888,2
2.199088,-0.671685,2
-0.768997,-0.695708,2
-0.509119,-0.690903,2
-0.044073,-0.690903,2
0.270517,-0.686099,2
0.414134,-0.700512,2
0.590968,-0.697767,2
2.085106,-0.694106,2
2.337820,-0.697767,2
-0.960486,-0.719731,2
0.749240,-0.729340,2
1.706687,-0.710122,2
2.472644,-0.710122,2
-0.864742,-0.729340,2
-0.591185,-0.729340,5
-0.290274,-0.729340,2
-0.139818,-0.748559,2
1.624620,-0.738949,2
0.338906,-0.758168,2
1.939210,-0.748559,5
2.226444,-0.748559,2
-1.083587,-0.767777,2
-0.522796,-0.786996,2
-0.399696,-0.767777,2
-0.235562,-0.767777,2
0.174772,-0.767777,2
0.483283,-0.794469,2
0.557751,-0.767777,2
1.761398,-0.767777,2
2.089666,-0.767777,2
2.500000,-0.767777,2
-0.946809,-0.786996,2
-0.782675,-0.786996,5
-0.016717,-0.786996,2
0.639818,-0.786996,2
-0.637690,-0.829276,2
-0.085106,-0.811019,2
0.092705,-0.815823,5
0.831307,-0.806214,2
-0.331307,-0.844651,2
0.256839,-0.825432,2
1.542553,-0.825432,2
1.870821,-0.825432,2
2.422492,-0.822229,2
-0.919453,-0.844651,2
-0.208207,-0.844651,5
0.379939,-0.859751,2
0.591945,-0.854260,2
0.721884,-0.854260,2
0.913374,-0.844651,2
1.706687,-0.844651,2
2.012158,-0.847854,2
2.220582,-0.854260,2
2.331307,-0.841448,2
-1.056231,-0.863869,2
-0.427052,-0.863869,2
-0.044073,-0.863869,2
-0.810030,-0.883088,2
-0.700608,-0.883088,5
0.202128,-0.892697,2
0.516717,-0.887892,2
1.925532,-0.883088,2
-0.896657,-0.899103,2
-0.618541,-0.902306,5
-0.522796,-0.897502,2
-0.194529,-0.907111,2
-0.039514,-0.926863,2
0.629787,-0.963165,2
0.767126,-0.954787,2
1.624620,-0.902306,2
2.431611,-0.897502,2
-0.348024,-0.968503,2
0.065350,-0.921525,2
0.386778,-0.931134,2
1.729483,-0.918322,2
2.226444,-0.921525,2
2.358663,-0.918322,2
-0.782675,-0.940743,2
1.980243,-0.940743,2
2.117021,-0.940743,2
2.493161,-0.950352,2
-0.919453,-0.959962,5
-0.700608,-0.959962,2
-0.520692,-0.976962,2
-0.205471,-0.965727,2
0.256839,-0.959962,2
-1.083587,-0.979180,2
-0.837386,-0.979180,2
0.530395,-0.979180,2
1.610942,-0.983985,2
1.816109,-0.979180,2
2.281155,-0.979180,2
-0.098784,-0.998398,2
0.037994,-0.998398,2
0.147416,-0.998398,2
0.366261,-0.998398,2
2.144377,-0.998398,2
-0.892097,-1.027226,2
0.256839,-1.017617,2
0.894225,-1.015695,2
1.925532,-1.017617,2
-0.700608,-1.036835,2
0.503040,-1.036835,5
2.110182,-1.046445,2
-0.388754,-1.084881,2
-0.153495,-1.056054,2
0.058511,-1.072870,2
0.154255,-1.065663,2
1.706687,-1.056054,2
1.848024,-1.059257,2
1.984802,-1.059257,2
2.417933,-1.056054,2
-1.001520,-1.075272,2
-0.755319,-1.084881,5
-0.618541,-1.075272,2
-0.262918,-1.075272,2
0.349848,-1.090647,2
2.253799,-1.075272,2
-0.509119,-1.094491,2
-0.050912,-1.111307,2
0.557751,-1.094491,2
0.667173,-1.113709,2
0.749240,-1.094491,2
0.831307,-1.094491,2
1.656535,-1.097694,2
-0.919453,-1.113709,5
0.229483,-1.113709,2
-0.810030,-1.132928,2
-0.565350,-1.157485,2
-0.235562,-1.132928,2
2.094225,-1.129725,2
2.363222,-1.132928,2
-0.680091,-1.161755,2
-0.137713,-1.185409,2
0.089286,-1.196589,2
0.352584,-1.180974,2
0.544073,-1.147341,2
1.891337,-1.161755,2
1.993921,-1.196698,2
2.458967,-1.152146,5
-1.532468,-1.182721,2
-1.028875,-1.171365,2
-0.468085,-1.166560,2
-0.343031,-1.186465,5
0.224924,-1.168161,2
0.721884,-1.171365,2
2.221884,-1.168161,2
-1.699088,-1.209801,2
-0.898936,-1.200192,2
-0.755319,-1.190583,2
0.475684,-1.190583,5
0.591945,-1.200192,2
1.754559,-1.200192,2
-0.260182,-1.223254,2
0.810790,-1.219411,2
2.112462,-1.213004,2
2.281155,-1.209801,2
-1.384498,-1.229020,2
-0.454407,-1.248238,2
0.680851,-1.238629,2
1.866261,-1.232223,2
-1.777247,-1.263339,2
-1.641337,-1.268524,4
-1.466565,-1.257848,2
-0.782675,-1.248238,2
-0.637690,-1.246316,2
-0.112462,-1.279811,2
0.284195,-1.248238,2
0.544073,-1.243434,2
-0.919453,-1.277066,2
-0.536474,-1.267457,2
-0.303951,-1.277066,2
-0.208207,-1.267457,2
0.065350,-1.267457,2
0.424392,-1.291480,2
2.203647,-1.267457,2
2.340426,-1.270660,2
-1.375380,-1.325112,4
0.174772,-1.286675,2
-1.579027,-1.356075,2
-0.748480,-1.315503,2
0.665653,-1.334721,2
1.870821,-1.305894,2
2.021277,-1.301089,2
-1.473404,-1.334721,4
-0.591185,-1.325112,2
-0.269757,-1.334721,2
0.065350,-1.344331,5
-1.787994,-1.368354,2
-1.685410,-1.344331,4
-0.864742,-1.344331,2
-0.413374,-1.344331,2
0.325228,-1.344331,5
0.544073,-1.353940,2
2.148936,-1.341127,2
-1.302432,-1.363549,2
0.229483,-1.363549,5
-0.618541,-1.382767,2
-0.481763,-1.382767,2
-0.126140,-1.382767,2
0.010638,-1.382767,2
-0.727964,-1.401986,2
-0.205471,-1.415439,2
0.407295,-1.411595,2
-1.717325,-1.424407,2
-1.480243,-1.421204,2
-1.357143,-1.421204,4
-0.395137,-1.424407,2
-0.290274,-1.421204,2
0.155015,-1.432949,2
0.311550,-1.421204,2
0.489362,-1.430814,2
-0.618541,-1.440423,5
-1.658055,-1.459641,2
-0.509119,-1.459641,2
-0.006459,-1.483664,2
-1.753799,-1.488469,4
-1.572568,-1.493274,2
-1.418693,-1.488469,4
-0.210942,-1.484625,2
-0.336778,-1.500000,2
-0.126140,-1.498078,2
0.120061,-1.498078,2
0.229483,-1.498078,2
